disp_x_mm,disp_y_mm,disp_z_mm,Rx_deg,Ry_deg,Rz_deg,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
-0.850290582668352,-0.143411614078028,0.0761274417311205,-0.710606749464009,-1.97741873508344,1.20774330337072,-72.8659140247615,-7.18526029375334,-6.13978497420487,-0.955292284124964,-0.66229042254096,12.6524990223387
-0.944802154125588,-0.136771535311508,0.0836601691029965,-0.700996600104255,-1.99592325904837,1.21257108084644,-87.9636732791964,3.08188521333523,-6.90043973376413,-1.07090888655456,-0.676454394577802,14.8210352164698
-1.03832246289797,-0.130848058676123,0.0899598062691398,-0.691304857868841,-2.01809271298799,1.21558644791675,-98.5262446298264,14.7340330246163,-7.2248965520825,-1.07866853719447,-0.698370484837611,16.3095085478983
-1.13047181011347,-0.12606324475921,0.0947812982020723,-0.681598065494987,-2.04413235347802,1.21660047894837,-103.136140509067,25.5241144445456,-6.80430563366028,-0.977237392778817,-0.724747972829924,16.8598797257426
-1.22113304642309,-0.122732614123191,0.0979513877070454,-0.671900480632713,-2.07419225247376,1.21543309455725,-101.552302150912,28.3646571925944,-6.00036890533337,-0.766257785595477,-0.767742737911563,16.7900832636898
-1.31038552205539,-0.121013772103823,0.0993967169536408,-0.662172439704511,-2.10834884719859,1.21187962296739,-100.62750713963,25.7363985179963,-5.22282957117096,-0.508887046720736,-0.84929660745481,16.8381244516642
-1.39841316943348,-0.12090498826729,0.0991417043164875,-0.652318056378721,-2.1465978175686,1.20569248041587,-103.986552562678,20.12333285921,-5.16728630115955,-0.359654922889066,-0.992654906269925,17.8196920825392
-1.48542259743395,-0.122250108819417,0.0973079856410248,-0.642192283495793,-2.18884114631853,1.19656979593022,-112.866028908718,7.33329005424275,-6.30844716734316,-0.404624018938144,-1.12522246660942,19.9257616085414
-1.57154401986421,-0.124751882595797,0.0941050005193665,-0.631604540251219,-2.23489530672607,1.18415478949228,-129.94758985682,-6.06479235756615,-8.13265290272778,-0.617158337769209,-1.16245952535341,22.921669312359
-1.65676542234013,-0.128018894305721,0.0898078346813298,-0.62034834583155,-2.28449376628074,1.16805253786169,-150.10726528347,-12.4931233463112,-9.82332814752337,-0.90532312211068,-1.10716455649994,26.5570729657006
-1.7408952820196,-0.131610333187725,0.0847301225952918,-0.608225801275916,-2.33728672100633,1.14784458163062,-173.231391402559,-13.2391160108282,-11.0016213044275,-1.21504150558273,-1.01142657529901,30.1362701723738
-1.82355705035461,-0.135073051325371,0.0792029568229675,-0.595066162311517,-2.39284464743121,1.12311409494287,-193.951894897568,-10.3982637312026,-11.5389558798578,-1.48363722659503,-0.933399796465999,33.2619331987396
-1.90419405525029,-0.138010110148969,0.0735307590823406,-0.580772034164756,-2.45068856067751,1.09349613707757,-208.444971297813,-1.35737415130438,-11.0980662366424,-1.59758385148416,-0.898617521262296,35.6980344047285
-1.98212681037515,-0.140089533532482,0.0679835894969001,-0.565324855663038,-2.51027947253057,1.05869379811343,-218.154371718382,6.94087963248239,-9.60756094182329,-1.48612778551776,-0.851580162621928,37.3439355163204
-2.05660503373653,-0.141080067444501,0.0627693225394583,-0.548812764146226,-2.57104190089393,1.01851611124219,-224.778227388061,12.2872316709002,-7.99240148430945,-1.15178645800417,-0.778412100984675,38.7151535153927
-2.12687532413134,-0.140863327099547,0.0580188074211914,-0.531441899438915,-2.6323792771593,0.972910620396452,-236.603720444469,21.027246509788,-6.4735922565267,-0.689911935543045,-0.751420378892348,40.4216928488472
-2.19225214396874,-0.139406900126168,0.0537976780372025,-0.51352399741235,-2.69367168490045,0.921962935371128,-251.144415095572,30.476491775082,-5.69544152895983,-0.292297808907959,-0.823370566432034,42.7006037637204
-2.25217192885571,-0.136763473308855,0.0501002115068072,-0.495477950506481,-2.75428753233027,0.865906038296313,-264.524065847476,32.2492900099487,-6.3352005502108,-0.108656238424808,-0.931290849433937,45.0175372940509
-2.30622289805942,-0.13303509011729,0.0468656662252271,-0.47780453306972,-2.81359234519851,0.805105956926017,-276.409784422335,24.8570665272553,-7.50117443191294,-0.15844566168039,-0.948166470959831,46.8695545204794
-2.35416814048401,-0.128350627048198,0.0439927434369654,-0.461064766919258,-2.87095056771791,0.740040580068997,-282.56263427819,16.3460268893318,-8.56424556918992,-0.370236984756711,-0.837827599019837,48.4361335751881
-2.3959567988184,-0.122830478781566,0.0413645920933725,-0.445845017482575,-2.92572106334818,0.671269807346533,-289.582344864137,11.1230842759464,-8.68925278823696,-0.666181712712193,-0.616188637177198,49.6746462526893
-2.43169486531605,-0.116575904443303,0.0388587394596569,-0.432729965354518,-2.97727894685124,0.599417887339503,-294.707209325486,7.60323237352418,-8.740597779209,-0.98075064027106,-0.360292979167227,50.5979939656997
